# x	y	u	v	mask
  4.9731	  3.1496	 -0.0334	 -0.0426	  0.0000
  5.1388	  3.1496	 -0.4933	 -0.1727	  0.0000
  5.3046	  3.1496	  0.0192	 -0.1010	  0.0000
  5.4704	  3.1496	  0.1712	 -0.0123	  0.0000
  5.6361	  3.1496	  0.0168	  0.0345	  0.0000
  5.8019	  3.1496	 -0.0002	 -0.2542	  0.0000
  5.9677	  3.1496	  0.3079	  0.4273	  0.0000
  6.1334	  3.1496	  0.0645	  0.1290	  0.0000
  6.2992	  3.1496	 -0.0135	 -0.0120	  0.0000
  6.4650	  3.1496	 -0.0015	  0.0170	  0.0000
  0.1658	  2.9838	  1.4167	 -0.6259	  0.0000
  0.3315	  2.9838	 -0.0067	 -0.0109	  0.0000
  0.4973	  2.9838	  0.1039	 -0.0195	  0.0000
  0.6631	  2.9838	  0.0262	 -0.0222	  0.0000
  0.8288	  2.9838	 -0.0432	  0.0671	  0.0000
  0.9946	  2.9838	  6.0684	  2.6527	  0.0000
  1.1604	  2.9838	  2.9812	  1.8478	  0.0000
  1.3262	  2.9838	  0.3580	  0.1099	  0.0000
  1.4919	  2.9838	  0.1611	  0.0600	  0.0000
  1.6577	  2.9838	 -0.0217	 -0.1008	  0.0000
  1.8235	  2.9838	  0.0712	 -0.2873	  0.0000
  1.9892	  2.9838	 -0.1137	 -0.6469	  0.0000
  2.1550	  2.9838	 -0.9789	 -1.1641	  0.0000
  2.3208	  2.9838	 -0.0344	 -0.1448	  0.0000
  2.4865	  2.9838	 -0.0951	 -0.0154	  0.0000
  2.6523	  2.9838	 -0.0737	  0.0322	  0.0000
  2.8181	  2.9838	 -0.1672	  0.1213	  0.0000
  2.9838	  2.9838	 -1.3742	 -1.0446	  0.0000
  3.1496	  2.9838	 -1.6410	 -0.9560	  0.0000
